Date,Year,Study,Time,Temp,Soil moisture,Precipitation,RH%,Soil temp
10-16,2022,Fall 2022,18:00,9.99,0.144,0.00,68.17,11.91
10-16,2022,Fall 2022,19:00,9.04,0.144,0.00,71.20,11.75
10-16,2022,Fall 2022,20:00,8.08,0.144,0.00,80.20,11.48
10-16,2022,Fall 2022,21:00,6.97,0.143,0.00,88.80,11.24
10-16,2022,Fall 2022,22:00,6.60,0.143,0.25,95.60,11.03
10-16,2022,Fall 2022,23:00,6.04,0.144,0.25,100.00,10.85
10-16,2022,Fall 2022,24:00,5.78,0.144,0.25,100.00,10.69
10-17,2022,Fall 2022,01:00,5.38,0.144,0.51,100.00,10.54
10-17,2022,Fall 2022,02:00,5.12,0.145,0.25,100.00,10.39
10-17,2022,Fall 2022,03:00,4.60,0.147,1.52,100.00,10.24
10-17,2022,Fall 2022,04:00,4.27,0.148,0.51,100.00,10.08
10-17,2022,Fall 2022,05:00,4.11,0.148,0.00,100.00,9.92
10-17,2022,Fall 2022,06:00,3.58,0.149,0.51,99.90,9.77
10-17,2022,Fall 2022,07:00,3.35,0.149,0.00,99.90,9.60
10-17,2022,Fall 2022,08:00,3.08,0.149,0.00,99.90,9.46
10-17,2022,Fall 2022,09:00,2.69,0.149,0.00,99.90,9.33
10-17,2022,Fall 2022,10:00,3.00,0.149,0.00,99.90,9.24
10-17,2022,Fall 2022,11:00,3.91,0.149,0.51,98.60,9.29
10-17,2022,Fall 2022,12:00,3.73,0.150,0.25,99.90,9.40
10-17,2022,Fall 2022,13:00,3.78,0.150,0.25,99.90,9.52
10-17,2022,Fall 2022,14:00,3.90,0.150,0.00,98.40,9.61
10-17,2022,Fall 2022,15:00,3.35,0.151,1.02,99.40,9.66
10-17,2022,Fall 2022,16:00,4.47,0.152,0.00,99.20,9.66
10-17,2022,Fall 2022,17:00,6.86,0.153,0.00,88.70,9.80
10-17,2022,Fall 2022,18:00,7.17,0.153,0.25,85.00,9.93
10-17,2022,Fall 2022,19:00,6.37,0.153,0.76,84.60,9.97
10-17,2022,Fall 2022,20:00,5.67,0.153,0.00,86.50,9.80
10-17,2022,Fall 2022,21:00,5.17,0.153,0.00,87.90,9.60
10-17,2022,Fall 2022,22:00,4.67,0.153,0.00,88.60,9.41
10-17,2022,Fall 2022,23:00,4.12,0.153,0.00,85.70,9.23
10-17,2022,Fall 2022,24:00,3.68,0.153,0.00,90.50,9.04
10-18,2022,Fall 2022,01:00,3.29,0.153,0.00,92.40,8.88
10-18,2022,Fall 2022,02:00,3.44,0.153,0.00,84.80,8.74
10-18,2022,Fall 2022,03:00,3.37,0.153,0.00,82.80,8.61
10-18,2022,Fall 2022,04:00,3.26,0.153,0.00,82.20,8.46
10-18,2022,Fall 2022,05:00,3.08,0.153,0.00,82.00,8.34
10-18,2022,Fall 2022,06:00,2.98,0.152,0.00,80.40,8.22
10-18,2022,Fall 2022,07:00,2.87,0.152,0.00,79.94,8.11
10-18,2022,Fall 2022,08:00,2.77,0.152,0.00,79.61,7.99
10-18,2022,Fall 2022,09:00,2.87,0.152,0.00,77.10,7.87
10-18,2022,Fall 2022,10:00,3.36,0.152,0.00,75.46,7.81
10-18,2022,Fall 2022,11:00,3.89,0.152,0.00,74.61,7.84
10-18,2022,Fall 2022,12:00,3.88,0.152,0.00,79.08,7.93
10-18,2022,Fall 2022,13:00,4.17,0.152,0.00,83.50,8.06
10-18,2022,Fall 2022,14:00,4.61,0.152,0.25,77.65,8.29
10-18,2022,Fall 2022,15:00,4.62,0.152,0.00,81.40,8.44
10-18,2022,Fall 2022,16:00,3.92,0.152,0.51,93.70,8.55
10-18,2022,Fall 2022,17:00,3.52,0.153,0.76,99.40,8.53
10-18,2022,Fall 2022,18:00,3.49,0.154,0.51,99.50,8.47
10-18,2022,Fall 2022,19:00,3.34,0.154,0.25,99.90,8.37
10-18,2022,Fall 2022,20:00,3.37,0.154,0.25,99.70,8.23
10-18,2022,Fall 2022,21:00,3.72,0.155,0.00,97.00,8.10
10-18,2022,Fall 2022,22:00,3.93,0.155,0.00,95.70,7.99
10-18,2022,Fall 2022,23:00,4.03,0.155,0.00,92.80,7.91
10-18,2022,Fall 2022,24:00,3.88,0.155,0.00,93.80,7.83
10-19,2022,Fall 2022,01:00,3.89,0.154,0.00,93.50,7.78
10-19,2022,Fall 2022,02:00,3.87,0.154,0.00,92.20,7.72
10-19,2022,Fall 2022,03:00,3.32,0.155,0.76,97.60,7.67
10-19,2022,Fall 2022,04:00,3.11,0.155,0.25,99.90,7.61
10-19,2022,Fall 2022,05:00,3.36,0.156,0.25,97.80,7.55
10-19,2022,Fall 2022,06:00,3.44,0.156,0.00,94.60,7.50
10-19,2022,Fall 2022,07:00,3.65,0.156,0.00,89.80,7.43
10-19,2022,Fall 2022,08:00,3.53,0.156,0.00,91.40,7.38
10-19,2022,Fall 2022,09:00,3.34,0.156,0.25,94.90,7.33
10-19,2022,Fall 2022,10:00,3.25,0.156,0.51,97.10,7.31
10-19,2022,Fall 2022,11:00,3.58,0.157,0.00,94.70,7.35
10-19,2022,Fall 2022,12:00,4.39,0.157,0.00,81.30,7.47
10-19,2022,Fall 2022,13:00,4.80,0.157,0.00,73.89,7.67
10-19,2022,Fall 2022,14:00,5.86,0.157,0.00,65.32,7.88
10-19,2022,Fall 2022,15:00,6.26,0.157,0.00,63.17,8.17
10-19,2022,Fall 2022,16:00,6.95,0.157,0.00,59.97,8.38
10-19,2022,Fall 2022,17:00,6.64,0.157,0.00,58.67,8.54
10-19,2022,Fall 2022,18:00,5.52,0.156,0.00,60.20,8.56
10-19,2022,Fall 2022,19:00,4.47,0.156,0.00,60.44,8.42
10-19,2022,Fall 2022,20:00,3.96,0.156,0.00,62.88,8.20
10-19,2022,Fall 2022,21:00,3.41,0.156,0.00,65.59,7.99
10-19,2022,Fall 2022,22:00,3.13,0.156,0.00,64.54,7.79
10-19,2022,Fall 2022,23:00,2.79,0.156,0.00,70.39,7.64
10-19,2022,Fall 2022,24:00,2.09,0.156,0.00,76.33,7.52
10-20,2022,Fall 2022,01:00,0.97,0.155,0.00,85.50,7.38
10-20,2022,Fall 2022,02:00,1.29,0.155,0.00,87.20,7.22
10-20,2022,Fall 2022,03:00,1.73,0.155,0.00,85.90,7.09
10-20,2022,Fall 2022,04:00,1.58,0.155,0.00,86.60,6.99
10-20,2022,Fall 2022,05:00,1.99,0.155,0.00,81.80,6.89
10-20,2022,Fall 2022,06:00,2.01,0.155,0.00,78.91,6.82
10-20,2022,Fall 2022,07:00,2.08,0.155,0.00,75.72,6.75
10-20,2022,Fall 2022,08:00,2.33,0.155,0.00,73.36,6.69
10-20,2022,Fall 2022,09:00,2.59,0.155,0.00,72.92,6.64
10-20,2022,Fall 2022,10:00,3.08,0.155,0.00,71.68,6.62
10-20,2022,Fall 2022,11:00,3.50,0.155,0.00,70.03,6.66
10-20,2022,Fall 2022,12:00,3.39,0.155,0.00,74.35,6.71
10-20,2022,Fall 2022,13:00,2.54,0.155,0.00,85.20,6.79
10-20,2022,Fall 2022,14:00,3.63,0.156,0.00,78.59,6.90
10-20,2022,Fall 2022,15:00,6.47,0.156,0.00,59.76,7.20
10-20,2022,Fall 2022,16:00,8.33,0.156,0.00,49.71,7.78
10-20,2022,Fall 2022,17:00,8.71,0.156,0.00,44.81,8.13
10-20,2022,Fall 2022,18:00,8.85,0.156,0.00,40.39,8.25
10-20,2022,Fall 2022,19:00,7.50,0.155,0.00,42.06,8.23
10-20,2022,Fall 2022,20:00,4.30,0.155,0.00,59.25,8.01
10-20,2022,Fall 2022,21:00,1.40,0.154,0.00,79.08,7.71
10-20,2022,Fall 2022,22:00,0.12,0.154,0.00,89.60,7.39
10-20,2022,Fall 2022,23:00,-0.56,0.154,0.00,94.20,7.10
10-20,2022,Fall 2022,24:00,-0.26,0.154,0.00,88.50,6.83
10-21,2022,Fall 2022,01:00,-0.57,0.154,0.00,93.10,6.61
10-21,2022,Fall 2022,02:00,-1.00,0.154,0.00,96.90,6.41
10-21,2022,Fall 2022,03:00,0.33,0.154,0.00,82.80,6.23
10-21,2022,Fall 2022,04:00,2.21,0.154,0.00,69.25,6.09
10-21,2022,Fall 2022,05:00,2.54,0.154,0.00,68.31,6.00
10-21,2022,Fall 2022,06:00,1.92,0.154,0.00,75.06,5.92
10-21,2022,Fall 2022,07:00,2.53,0.154,0.00,73.30,5.83
10-21,2022,Fall 2022,08:00,3.23,0.154,0.00,70.65,5.77
10-21,2022,Fall 2022,09:00,4.11,0.154,0.00,68.57,5.72
10-21,2022,Fall 2022,10:00,7.55,0.155,0.00,57.81,5.75
10-21,2022,Fall 2022,11:00,10.50,0.155,0.00,50.16,6.03
10-21,2022,Fall 2022,12:00,13.39,0.155,0.00,44.82,6.61
10-21,2022,Fall 2022,13:00,15.71,0.155,0.00,40.85,7.48
10-21,2022,Fall 2022,14:00,17.90,0.156,0.00,36.85,8.48
10-21,2022,Fall 2022,15:00,19.35,0.156,0.00,33.94,9.48
10-21,2022,Fall 2022,16:00,20.16,0.156,0.00,31.94,10.25
10-21,2022,Fall 2022,17:00,20.50,0.155,0.00,31.66,10.58
10-21,2022,Fall 2022,18:00,20.10,0.155,0.00,33.61,10.68
10-21,2022,Fall 2022,19:00,18.66,0.155,0.00,38.01,10.65
10-21,2022,Fall 2022,20:00,16.36,0.155,0.00,44.63,10.47
10-21,2022,Fall 2022,21:00,15.41,0.154,0.00,47.50,10.22
10-21,2022,Fall 2022,22:00,15.79,0.155,0.00,45.28,10.00
10-21,2022,Fall 2022,23:00,16.15,0.154,0.00,42.89,9.84
10-21,2022,Fall 2022,24:00,15.83,0.154,0.00,43.60,9.72
10-22,2022,Fall 2022,01:00,15.29,0.154,0.00,44.95,9.61
10-22,2022,Fall 2022,02:00,14.64,0.154,0.00,46.39,9.52
10-22,2022,Fall 2022,03:00,13.97,0.154,0.00,47.90,9.42
10-22,2022,Fall 2022,04:00,13.59,0.154,0.00,48.33,9.33
10-22,2022,Fall 2022,05:00,12.55,0.154,0.00,51.65,9.23
10-22,2022,Fall 2022,06:00,12.18,0.154,0.00,53.77,9.13
10-22,2022,Fall 2022,07:00,11.07,0.153,0.00,58.20,9.02
10-22,2022,Fall 2022,08:00,10.65,0.153,0.00,61.76,8.90
10-22,2022,Fall 2022,09:00,10.93,0.153,0.00,62.74,8.79
10-22,2022,Fall 2022,10:00,12.93,0.154,0.00,57.90,8.79
10-22,2022,Fall 2022,11:00,15.28,0.154,0.00,53.53,9.01
10-22,2022,Fall 2022,12:00,17.89,0.154,0.00,49.86,9.51
10-22,2022,Fall 2022,13:00,20.29,0.154,0.00,45.80,10.28
10-22,2022,Fall 2022,14:00,22.30,0.154,0.00,40.37,11.19
10-22,2022,Fall 2022,15:00,23.73,0.154,0.00,36.35,12.08
10-22,2022,Fall 2022,16:00,23.98,0.154,0.00,35.25,12.76
10-22,2022,Fall 2022,17:00,23.77,0.153,0.00,36.57,12.99
10-22,2022,Fall 2022,18:00,22.97,0.153,0.00,38.92,13.02
10-22,2022,Fall 2022,19:00,21.32,0.153,0.00,43.47,12.93
10-22,2022,Fall 2022,20:00,17.38,0.152,0.00,55.85,12.68
10-22,2022,Fall 2022,21:00,15.07,0.152,0.00,63.99,12.32
10-22,2022,Fall 2022,22:00,15.99,0.152,0.00,59.30,11.97
10-22,2022,Fall 2022,23:00,16.90,0.152,0.00,57.01,11.71
10-22,2022,Fall 2022,24:00,16.28,0.152,0.00,61.08,11.54
10-23,2022,Fall 2022,01:00,14.91,0.152,0.00,67.93,11.41
10-23,2022,Fall 2022,02:00,13.87,0.151,0.00,74.26,11.25
10-23,2022,Fall 2022,03:00,12.42,0.151,0.00,82.20,11.08
10-23,2022,Fall 2022,04:00,10.71,0.151,0.00,93.30,10.90
10-23,2022,Fall 2022,05:00,10.24,0.151,0.00,96.60,10.71
10-23,2022,Fall 2022,06:00,9.99,0.151,0.00,98.00,10.52
10-23,2022,Fall 2022,07:00,9.99,0.151,0.00,97.90,10.33
10-23,2022,Fall 2022,08:00,11.04,0.151,0.00,93.20,10.17
10-23,2022,Fall 2022,09:00,12.27,0.151,0.00,86.50,10.09
10-23,2022,Fall 2022,10:00,13.54,0.151,0.00,80.60,10.14
10-23,2022,Fall 2022,11:00,15.99,0.151,0.00,71.67,10.32
10-23,2022,Fall 2022,12:00,18.74,0.151,0.00,62.06,10.79
10-23,2022,Fall 2022,13:00,20.38,0.151,0.00,56.87,11.38
10-23,2022,Fall 2022,14:00,22.37,0.152,0.00,49.43,12.13
10-23,2022,Fall 2022,15:00,22.97,0.151,0.00,45.75,12.96
10-23,2022,Fall 2022,16:00,23.23,0.151,0.00,44.50,13.54
10-23,2022,Fall 2022,17:00,23.32,0.151,0.00,42.49,13.75
10-23,2022,Fall 2022,18:00,22.77,0.151,0.00,42.89,13.78
10-23,2022,Fall 2022,19:00,21.47,0.151,0.00,46.68,13.68
10-23,2022,Fall 2022,20:00,19.68,0.150,0.00,51.52,13.48
10-23,2022,Fall 2022,21:00,18.19,0.150,0.00,56.66,13.24
10-23,2022,Fall 2022,22:00,17.09,0.150,0.00,61.84,13.00
10-23,2022,Fall 2022,23:00,16.29,0.150,0.00,65.14,12.78
10-23,2022,Fall 2022,24:00,15.57,0.150,0.00,67.69,12.58
10-24,2022,Fall 2022,01:00,15.77,0.150,0.00,65.75,12.40
10-24,2022,Fall 2022,02:00,16.24,0.150,0.00,62.43,12.26
10-24,2022,Fall 2022,03:00,15.61,0.149,0.00,64.27,12.15
10-24,2022,Fall 2022,04:00,14.59,0.149,0.00,68.73,12.06
10-24,2022,Fall 2022,05:00,14.42,0.149,0.00,68.81,11.99
10-24,2022,Fall 2022,06:00,13.94,0.149,0.00,69.38,11.90
10-24,2022,Fall 2022,07:00,14.38,0.149,0.00,66.14,11.81
10-24,2022,Fall 2022,08:00,14.24,0.149,0.00,65.43,11.74
10-24,2022,Fall 2022,09:00,14.22,0.149,0.00,64.77,11.65
10-24,2022,Fall 2022,10:00,15.77,0.149,0.00,58.59,11.64
10-24,2022,Fall 2022,11:00,18.29,0.149,0.00,50.29,11.84
10-24,2022,Fall 2022,12:00,20.30,0.149,0.00,45.83,12.29
10-24,2022,Fall 2022,13:00,22.50,0.149,0.00,43.43,12.90
10-24,2022,Fall 2022,14:00,23.66,0.149,0.00,42.73,13.65
10-24,2022,Fall 2022,15:00,24.32,0.149,0.00,41.88,14.38
10-24,2022,Fall 2022,16:00,23.70,0.148,0.00,41.75,14.88
10-24,2022,Fall 2022,17:00,23.34,0.148,0.00,40.57,14.95
10-24,2022,Fall 2022,18:00,22.57,0.148,0.00,38.45,14.87
10-24,2022,Fall 2022,19:00,21.39,0.148,0.00,39.51,14.65
10-24,2022,Fall 2022,20:00,20.30,0.148,0.00,41.46,14.40
10-24,2022,Fall 2022,21:00,19.87,0.147,0.00,40.96,14.15
10-24,2022,Fall 2022,22:00,19.75,0.147,0.00,39.93,13.94
10-24,2022,Fall 2022,23:00,19.03,0.147,0.00,42.58,13.77
10-24,2022,Fall 2022,24:00,18.52,0.147,0.00,44.49,13.61
10-25,2022,Fall 2022,01:00,17.92,0.147,0.00,46.04,13.45
10-25,2022,Fall 2022,02:00,17.33,0.147,0.00,47.18,13.28
10-25,2022,Fall 2022,03:00,16.24,0.146,0.00,50.08,13.09
10-25,2022,Fall 2022,04:00,15.14,0.146,0.00,53.31,12.87
10-25,2022,Fall 2022,05:00,13.58,0.146,0.00,58.58,12.62
10-25,2022,Fall 2022,06:00,13.45,0.146,0.00,58.16,12.37
10-25,2022,Fall 2022,07:00,12.81,0.146,0.00,59.90,12.14
10-25,2022,Fall 2022,08:00,12.31,0.145,0.00,61.62,11.92
10-25,2022,Fall 2022,09:00,12.25,0.145,0.00,62.19,11.72
10-25,2022,Fall 2022,10:00,14.68,0.146,0.00,54.41,11.61
10-25,2022,Fall 2022,11:00,17.55,0.146,0.00,49.12,11.75
10-25,2022,Fall 2022,12:00,19.78,0.146,0.00,48.98,12.19
10-25,2022,Fall 2022,13:00,21.69,0.146,0.00,47.54,12.82
10-25,2022,Fall 2022,14:00,21.16,0.145,0.00,49.85,13.43
10-25,2022,Fall 2022,15:00,20.65,0.145,0.00,51.23,13.66
10-25,2022,Fall 2022,16:00,21.43,0.145,0.00,51.71,13.83
10-25,2022,Fall 2022,17:00,21.30,0.145,0.00,53.99,13.99
10-25,2022,Fall 2022,18:00,21.12,0.145,0.00,56.36,14.08
10-25,2022,Fall 2022,19:00,20.95,0.145,0.00,57.41,14.08
10-25,2022,Fall 2022,20:00,20.81,0.145,0.00,60.08,14.05
10-25,2022,Fall 2022,21:00,18.45,0.145,0.25,78.92,14.04
10-25,2022,Fall 2022,22:00,16.27,0.146,1.27,99.60,14.02
10-25,2022,Fall 2022,23:00,16.08,0.147,0.00,100.00,13.99
10-25,2022,Fall 2022,24:00,15.86,0.147,0.00,100.00,13.95
10-26,2022,Fall 2022,01:00,15.80,0.148,0.25,100.00,13.91
10-26,2022,Fall 2022,02:00,15.46,0.148,0.00,100.00,13.86
10-26,2022,Fall 2022,03:00,15.15,0.148,0.25,100.00,13.80
10-26,2022,Fall 2022,04:00,15.09,0.149,0.00,100.00,13.75
10-26,2022,Fall 2022,05:00,15.18,0.149,0.00,100.00,13.71
10-26,2022,Fall 2022,06:00,15.09,0.150,0.76,100.00,13.69
10-26,2022,Fall 2022,07:00,14.83,0.152,0.25,100.00,13.67
10-26,2022,Fall 2022,08:00,14.96,0.152,0.00,100.00,13.65
10-26,2022,Fall 2022,09:00,13.35,0.154,1.52,100.00,13.64
10-26,2022,Fall 2022,10:00,9.13,0.155,0.25,100.00,13.55
10-26,2022,Fall 2022,11:00,7.52,0.155,0.25,100.00,13.30
10-26,2022,Fall 2022,12:00,7.01,0.156,0.76,100.00,12.99
10-26,2022,Fall 2022,13:00,7.08,0.158,1.27,100.00,12.72
10-26,2022,Fall 2022,14:00,7.29,0.159,0.25,99.30,12.61
10-26,2022,Fall 2022,15:00,7.37,0.159,0.25,96.30,12.52
10-26,2022,Fall 2022,16:00,7.06,0.159,0.00,90.40,12.43
10-26,2022,Fall 2022,17:00,7.44,0.159,0.00,76.19,12.31
10-26,2022,Fall 2022,18:00,7.20,0.159,0.00,74.96,12.13
10-26,2022,Fall 2022,19:00,6.74,0.159,0.00,72.64,11.91
10-26,2022,Fall 2022,20:00,6.42,0.159,0.00,71.39,11.64
10-26,2022,Fall 2022,21:00,6.09,0.158,0.00,73.15,11.36
10-26,2022,Fall 2022,22:00,5.78,0.158,0.00,70.08,11.13
10-26,2022,Fall 2022,23:00,5.62,0.158,0.00,70.17,10.89
10-26,2022,Fall 2022,24:00,5.26,0.158,0.00,70.38,10.65
10-27,2022,Fall 2022,01:00,4.81,0.158,0.00,71.90,10.42
10-27,2022,Fall 2022,02:00,4.49,0.157,0.00,73.41,10.17
10-27,2022,Fall 2022,03:00,2.17,0.157,0.00,87.50,9.93
10-27,2022,Fall 2022,04:00,0.09,0.157,0.00,99.60,9.64
10-27,2022,Fall 2022,05:00,-0.72,0.156,0.00,99.90,9.33
10-27,2022,Fall 2022,06:00,-1.33,0.156,0.00,99.90,9.03
10-27,2022,Fall 2022,07:00,-1.52,0.156,0.00,99.90,8.74
10-27,2022,Fall 2022,08:00,-1.76,0.156,0.00,99.90,8.47
10-27,2022,Fall 2022,09:00,-0.99,0.156,0.00,99.90,8.21
10-27,2022,Fall 2022,10:00,2.68,0.157,0.00,87.10,8.05
10-27,2022,Fall 2022,11:00,5.67,0.157,0.00,71.71,8.16
10-27,2022,Fall 2022,12:00,6.45,0.157,0.00,66.97,8.58
10-27,2022,Fall 2022,13:00,7.52,0.157,0.00,63.37,9.18
10-27,2022,Fall 2022,14:00,8.68,0.157,0.00,58.09,9.88
10-27,2022,Fall 2022,15:00,9.63,0.157,0.00,53.60,10.65
10-27,2022,Fall 2022,16:00,10.39,0.157,0.00,48.98,11.23
10-27,2022,Fall 2022,17:00,10.42,0.157,0.00,48.45,11.38
10-27,2022,Fall 2022,18:00,10.02,0.157,0.00,49.23,11.26
10-27,2022,Fall 2022,19:00,8.32,0.156,0.00,56.85,11.04
10-27,2022,Fall 2022,20:00,6.80,0.156,0.00,62.87,10.70
10-27,2022,Fall 2022,21:00,5.96,0.156,0.00,66.15,10.34
10-27,2022,Fall 2022,22:00,4.87,0.155,0.00,71.18,10.00
10-27,2022,Fall 2022,23:00,3.89,0.155,0.00,75.50,9.68
10-27,2022,Fall 2022,24:00,1.84,0.155,0.00,88.40,9.36
10-28,2022,Fall 2022,01:00,1.16,0.155,0.00,93.10,9.05
10-28,2022,Fall 2022,02:00,1.78,0.155,0.00,91.60,8.78
10-28,2022,Fall 2022,03:00,3.46,0.155,0.00,84.80,8.58
10-28,2022,Fall 2022,04:00,3.40,0.155,0.00,90.20,8.41
10-28,2022,Fall 2022,05:00,3.50,0.155,0.00,93.60,8.26
10-28,2022,Fall 2022,06:00,2.89,0.154,0.00,97.00,8.12
10-28,2022,Fall 2022,07:00,2.06,0.154,0.00,99.70,7.96
10-28,2022,Fall 2022,08:00,1.44,0.154,0.00,100.00,7.80
10-28,2022,Fall 2022,09:00,1.27,0.154,0.00,100.00,7.67
10-28,2022,Fall 2022,10:00,2.72,0.154,0.00,99.30,7.62
10-28,2022,Fall 2022,11:00,6.26,0.155,0.00,87.90,7.72
10-28,2022,Fall 2022,12:00,9.02,0.155,0.00,77.87,8.26
10-28,2022,Fall 2022,13:00,11.06,0.156,0.00,67.52,8.97
10-28,2022,Fall 2022,14:00,13.23,0.156,0.00,55.93,9.74
10-28,2022,Fall 2022,15:00,14.27,0.156,0.00,49.46,10.62
10-28,2022,Fall 2022,16:00,14.88,0.156,0.00,44.79,11.32
10-28,2022,Fall 2022,17:00,14.97,0.156,0.00,45.81,11.56
10-28,2022,Fall 2022,18:00,14.58,0.155,0.00,45.76,11.53
10-28,2022,Fall 2022,19:00,12.50,0.155,0.00,53.11,11.34
10-28,2022,Fall 2022,20:00,8.44,0.154,0.00,69.04,10.98
10-28,2022,Fall 2022,21:00,6.03,0.154,0.00,79.44,10.56
10-28,2022,Fall 2022,22:00,4.56,0.154,0.00,86.50,10.14
10-28,2022,Fall 2022,23:00,2.82,0.154,0.00,96.50,9.75
10-28,2022,Fall 2022,24:00,1.99,0.153,0.00,99.80,9.39
10-29,2022,Fall 2022,01:00,2.38,0.153,0.00,98.20,9.05
10-29,2022,Fall 2022,02:00,1.38,0.153,0.00,98.70,8.75
10-29,2022,Fall 2022,03:00,0.04,0.153,0.00,99.90,8.45
10-29,2022,Fall 2022,04:00,-0.58,0.153,0.00,99.90,8.16
10-29,2022,Fall 2022,05:00,-1.33,0.152,0.00,99.90,7.86
10-29,2022,Fall 2022,06:00,-1.39,0.152,0.00,99.90,7.60
10-29,2022,Fall 2022,07:00,-1.72,0.152,0.00,99.90,7.39
10-29,2022,Fall 2022,08:00,-1.80,0.152,0.00,99.90,7.23
10-29,2022,Fall 2022,09:00,-0.82,0.152,0.00,99.90,7.11
10-29,2022,Fall 2022,10:00,1.24,0.153,0.00,100.00,7.10
10-29,2022,Fall 2022,11:00,3.86,0.153,0.00,100.00,7.30
10-29,2022,Fall 2022,12:00,8.15,0.154,0.00,88.70,7.72
10-29,2022,Fall 2022,13:00,12.92,0.154,0.00,53.00,8.48
10-29,2022,Fall 2022,14:00,14.59,0.154,0.00,42.65,9.44
10-29,2022,Fall 2022,15:00,15.86,0.154,0.00,39.38,10.37
10-29,2022,Fall 2022,16:00,16.91,0.154,0.00,33.30,11.08
10-29,2022,Fall 2022,17:00,17.40,0.154,0.00,30.14,11.31
10-29,2022,Fall 2022,18:00,17.09,0.154,0.00,34.59,11.29
